Species,Vaccine_Name,Disease,Min_Age_Months,Dosage_Frequency,Seasonality_Logic,Booster_Rule,Mandatory_Conditions
Cow,FMD Vaccine,Foot and Mouth Disease,4,Every 6 months,All year,Every 6 months,
Cow,HS Vaccine,Haemorrhagic Septicaemia,6,Annually,Summer,Annual booster in summer,
Cow,BQ Vaccine,Black Quarter,6,Annually,All year,Annual booster,
Cow,Clostridial Vaccine,Clostridial infections,6,Every 6 months,All year,Every 6 months,
Cow,Live attenuated LSD Vaccine,Lumpy Skin Disease,4,Annually,Summer,Annual booster in summer,
Cow,Blanthrax Vaccine,Anthrax,4,Annually,Summer,Annual booster in summer,
Cow,Muguga ITM Cocktail Vaccine,East African Coast Fever,0,Once in lifetime,All year,No booster needed,
Cow,Rabies Vaccine,Rabies,0,After exposure,All year,After exposure only,After exposure/bite
Cow,Combined Vaccine IBR/PI3/BVD/BRSV,Blackleg/Malignant edema/Enterotoxemia,1,Initial series,All year,Follow vaccination program,
Cow,IBR/BVD/Parainfluenza Vaccine,Reproductive diseases,6,Annually,All year,Annual booster,
Cow,Vaccine,Three Day Stiff Sickness,8,Annually,Summer,Annual booster in summer,
Cow,RVF Vaccine,Rift Valley Fever,7,Annually,Summer,Annual booster in summer,
Cow,Vibriosis Vaccine,Vibriosis,18,Annually,All year,Annual booster,Non pregnant cows
Cow,Ultra/Coclavax one shot,Clostridial diseases,6,Annually,All year,Annual booster,
Cow,Brucella S19,Brucellosis,4,Once in lifetime,All year,No booster needed,Female calves only at 4-8 months
Cow,Brucella S19,Contagious abortion,4,Once in lifetime,Summer,No booster needed,Heifers only at 4 to 8 months of age
Cow,MLV-IBR/PI3/BVD/BRSV,Blackleg/Malignant edema/Enterotoxemia,8,Initial series,All year,Follow vaccination program,Replacement heifers at 8 months
Cow,Combined Vaccines with Lepto,Multiple diseases,12,Pre-breeding,All year,Follow breeding schedule,1 month before breeding
Cow,IBR/BVD/Parainfluenza Vaccine,Reproductive diseases,6,Annually,All year,Annual booster,
Cow,Scourguard Vaccine,Scourguard (To guard against scours),,Annually,All year,Before calving,Healthy pregnant cows and heifers
Cow,Clostridial Vaccine BRSV/Pasteurella,Clostridial/BRSV/Pasteurella,1,Initial + booster,All year,As directed,If problem with summer pneumonia
Cow,MLV-IBR/PI3/BVD/BRSV,Multiple respiratory diseases,6,At weaning,All year,Follow vaccination program,At weaning time
Cow,MLV-IBR/PI3/BVD/BRSV,Multiple respiratory diseases,6,Post-weaning,All year,Follow vaccination program,2-3 weeks after weaning
Goat,PPR Vaccine,PPR (Peste des Petits Ruminants),4,Every 3 years,All year,Every 3 years,
Goat,ET Vaccine,Enterotoxaemia,3,Annually,All year,Annual booster,Initial at 3 months then annual
Goat,Goat Pox Vaccine,Goat Pox,3,Annually,All year,Annual booster,
Goat,FMD Vaccine,Foot & Mouth Disease,4,Every 6 months,All year,Every 6 months,
Sheep,PPR Vaccine,PPR (Peste des Petits Ruminants),4,Every 3 years,All year,Every 3 years,
Sheep,ET Vaccine,Enterotoxaemia,3,Annually,All year,Annual booster,Initial at 3 months then annual
Sheep,Attenuated live virus cell culture,Sheep Pox,0,Annually,Spring & Autumn,Annual in spring or autumn,
Sheep,Inactivated FMD Vaccine,Foot and Mouth Disease,0,Every 6 months,All year,Every 6 months,
